file_name,domain_name
128_TAO_id_13_Environment_tr_500_1st_7.csv,Environment
123_TAO_id_8_Environment_tr_500_1st_62.csv,Environment
117_TAO_id_2_Environment_tr_500_1st_1.csv,Environment
122_TAO_id_7_Environment_tr_500_1st_19.csv,Environment
120_TAO_id_5_Environment_tr_500_1st_3.csv,Environment
127_TAO_id_12_Environment_tr_500_1st_24.csv,Environment
116_TAO_id_1_Environment_tr_500_1st_3.csv,Environment
126_TAO_id_11_Environment_tr_500_1st_7.csv,Environment
124_TAO_id_9_Environment_tr_500_1st_1.csv,Environment
193_Exathlon_id_20_Facility_tr_8898_1st_8998.csv,Facility
175_Exathlon_id_2_Facility_tr_10684_1st_10784.csv,Facility
184_Exathlon_id_11_Facility_tr_11665_1st_13484.csv,Facility
200_Exathlon_id_27_Facility_tr_10766_1st_12590.csv,Facility
061_SMD_id_5_Facility_tr_7176_1st_15144.csv,Facility
076_SMD_id_20_Facility_tr_5925_1st_17580.csv,Facility
062_SMD_id_6_Facility_tr_7180_1st_15131.csv,Facility
189_Exathlon_id_16_Facility_tr_11663_1st_13482.csv,Facility
194_Exathlon_id_21_Facility_tr_6985_1st_7085.csv,Facility
196_Exathlon_id_23_Facility_tr_11665_1st_13484.csv,Facility
077_SMD_id_21_Facility_tr_3026_1st_3126.csv,Facility
063_SMD_id_7_Facility_tr_5923_1st_6506.csv,Facility
066_SMD_id_10_Facility_tr_2634_1st_2734.csv,Facility
174_Exathlon_id_1_Facility_tr_10766_1st_12590.csv,Facility
075_SMD_id_19_Facility_tr_564_1st_664.csv,Facility
115_PSM_id_1_Facility_tr_50000_1st_129872.csv,Facility
064_SMD_id_8_Facility_tr_2272_1st_2372.csv,Facility
197_Exathlon_id_24_Facility_tr_10766_1st_12590.csv,Facility
179_Exathlon_id_6_Facility_tr_11665_1st_13484.csv,Facility
068_SMD_id_12_Facility_tr_1099_1st_1199.csv,Facility
182_Exathlon_id_9_Facility_tr_10766_1st_12590.csv,Facility
195_Exathlon_id_22_Facility_tr_10766_1st_12590.csv,Facility
181_Exathlon_id_8_Facility_tr_11663_1st_13482.csv,Facility
188_Exathlon_id_15_Facility_tr_12538_1st_12638.csv,Facility
199_Exathlon_id_26_Facility_tr_12538_1st_12638.csv,Facility
059_SMD_id_3_Facility_tr_757_1st_857.csv,Facility
067_SMD_id_11_Facility_tr_1980_1st_2080.csv,Facility
186_Exathlon_id_13_Facility_tr_10766_1st_12590.csv,Facility
058_SMD_id_2_Facility_tr_1087_1st_1187.csv,Facility
192_Exathlon_id_19_Facility_tr_11665_1st_13484.csv,Facility
187_Exathlon_id_14_Facility_tr_6193_1st_6293.csv,Facility
178_Exathlon_id_5_Facility_tr_12538_1st_12638.csv,Facility
057_SMD_id_1_Facility_tr_4529_1st_4629.csv,Facility
183_Exathlon_id_10_Facility_tr_11665_1st_13484.csv,Facility
065_SMD_id_9_Facility_tr_737_1st_837.csv,Facility
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500.csv,HumanActivity
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691.csv,HumanActivity
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577.csv,HumanActivity
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,HumanActivity
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145.csv,HumanActivity
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595.csv,HumanActivity
110_SVDB_id_27_Medical_tr_30824_1st_30924.csv,Medical
100_SVDB_id_17_Medical_tr_17803_1st_17903.csv,Medical
095_SVDB_id_12_Medical_tr_6264_1st_6364.csv,Medical
114_SVDB_id_31_Medical_tr_25000_1st_63090.csv,Medical
023_MITDB_id_5_Medical_tr_25000_1st_36913.csv,Medical
085_SVDB_id_2_Medical_tr_50000_1st_54982.csv,Medical
024_MITDB_id_6_Medical_tr_50000_1st_58118.csv,Medical
108_SVDB_id_25_Medical_tr_1238_1st_1338.csv,Medical
109_SVDB_id_26_Medical_tr_1038_1st_1138.csv,Medical
086_SVDB_id_3_Medical_tr_533_1st_633.csv,Medical
025_MITDB_id_7_Medical_tr_37500_1st_88864.csv,Medical
028_MITDB_id_10_Medical_tr_37500_1st_39948.csv,Medical
089_SVDB_id_6_Medical_tr_50000_1st_83083.csv,Medical
084_SVDB_id_1_Medical_tr_12973_1st_13073.csv,Medical
088_SVDB_id_5_Medical_tr_500_1st_168.csv,Medical
026_MITDB_id_8_Medical_tr_30495_1st_30595.csv,Medical
111_SVDB_id_28_Medical_tr_1791_1st_1891.csv,Medical
094_SVDB_id_11_Medical_tr_20100_1st_23611.csv,Medical
030_MITDB_id_12_Medical_tr_50000_1st_84572.csv,Medical
097_SVDB_id_14_Medical_tr_1031_1st_1131.csv,Medical
106_SVDB_id_23_Medical_tr_37500_1st_121963.csv,Medical
096_SVDB_id_13_Medical_tr_500_1st_444.csv,Medical
103_SVDB_id_20_Medical_tr_12167_1st_12267.csv,Medical
113_SVDB_id_30_Medical_tr_4552_1st_4652.csv,Medical
